Year,GDP pc,LogGDPpc
1800," 1,838 ",7.516433303
1820," 1,983 ",7.592366129
1850," 2,467 ",7.810758117
1860," 3,000 ",8.006367568
1870," 3,677 ",8.209852481
1871," 3,677 ",8.209852481
1872," 4,305 ",8.367532417
1873," 4,403 ",8.390041406
1874," 3,918 ",8.273336599
1875," 3,241 ",8.083637203
1876," 3,532 ",8.169619562
1877," 3,435 ",8.141772205
1878," 3,677 ",8.209852481
1879," 3,145 ",8.053569169
1880," 3,435 ",8.141772205
1881," 3,096 ",8.037866235
1882," 3,387 ",8.127699853
1883," 3,967 ",8.285765421
1884," 3,870 ",8.261009786
1885," 4,355 ",8.379079889
1886," 4,500 ",8.411832676
1887," 3,677 ",8.209852481
1888," 4,595 ",8.432724035
1889," 4,112 ",8.321664807
1890," 3,628 ",8.196436811
1891," 3,677 ",8.209852481
1892," 3,677 ",8.209852481
1893," 3,870 ",8.261009786
1894," 4,160 ",8.333270353
1895," 4,063 ",8.309676896
1896," 4,112 ",8.321664807
1897," 3,967 ",8.285765421
1898," 3,435 ",8.141772205
1899," 3,532 ",8.169619562
1900," 3,387 ",8.127699853
1901," 3,532 ",8.169619562
1902," 4,015 ",8.297792626
1903," 4,015 ",8.297792626
1904," 4,015 ",8.297792626
1905," 3,387 ",8.127699853
1906," 3,822 ",8.248529125
1907," 4,063 ",8.309676896
1908," 4,355 ",8.379079889
1909," 4,355 ",8.379079889
1910," 4,500 ",8.411832676
1911," 4,500 ",8.411832676
1912," 5,176 ",8.551787836
1913," 4,838 ",8.484256691
1914," 3,773 ",8.23562572
1915," 3,532 ",8.169619562
1916," 3,435 ",8.141772205
1917," 3,918 ",8.273336599
1918," 3,918 ",8.273336599
1919," 4,595 ",8.432724035
1920," 3,580 ",8.183118079
1921," 3,532 ",8.169619562
1922," 3,870 ",8.261009786
1923," 4,112 ",8.321664807
1924," 4,258 ",8.356554845
1925," 4,208 ",8.344742754
1926," 4,548 ",8.422442855
1927," 5,080 ",8.533066541
1928," 5,176 ",8.551787836
1929," 5,128 ",8.542470999
1930," 5,950 ",8.691146499
1931," 4,838 ",8.484256691
1932," 4,450 ",8.400659375
1933," 4,112 ",8.321664807
1934," 4,693 ",8.453827316
1935," 4,790 ",8.47428569
1936," 4,790 ",8.47428569
1937," 4,935 ",8.504107952
1938," 5,273 ",8.57035474
1939," 5,322 ",8.579604452
1940," 4,983 ",8.513787398
1941," 5,225 ",8.561210077
1942," 4,838 ",8.484256691
1943," 4,693 ",8.453827316
1944," 5,322 ",8.579604452
1945," 5,418 ",8.597482023
1946," 5,903 ",8.683215975
1947," 5,757 ",8.658171785
1948," 5,853 ",8.674709629
1949," 6,531 ",8.78431535
1950," 7,015 ",8.855805993
1951," 7,548 ",8.929037906
1952," 7,353 ",8.902863672
1953," 8,030 ",8.990939807
1954," 8,273 ",9.020752479
1955," 8,176 ",9.008958312
1956," 8,225 ",9.014933576
1957," 8,176 ",9.008958312
1958," 7,788 ",8.960339366
1959," 7,450 ",8.915969311
1960," 7,643 ",8.941545475
1961," 7,740 ",8.954156967
1962," 7,498 ",8.922391597
1963," 7,450 ",8.915969311
1964," 7,498 ",8.922391597
1965," 7,498 ",8.922391597
1966," 7,693 ",8.948066103
1967," 7,305 ",8.896314324
1968," 7,353 ",8.902863672
1969," 7,740 ",8.954156967
1970," 8,030 ",8.990939807
1971," 7,933 ",8.978786553
1972," 7,643 ",8.941545475
1973," 7,885 ",8.972717499
1974," 8,176 ",9.008958312
1975," 8,563 ",9.055205875
1976," 8,853 ",9.088511664
1977," 8,950 ",9.099408811
1978," 9,483 ",9.157256001
1979," 9,966 ",9.206934579
1980," 10,546 ",9.26350192
1981," 10,643 ",9.272657678
1982," 9,578 ",9.167224081
1983," 8,950 ",9.099408811
1984," 8,805 ",9.083075021
1985," 8,901 ",9.093918909
1986," 9,628 ",9.172430799
1987," 10,305 ",9.240384493
1988," 10,256 ",9.235618179
1989," 10,305 ",9.240384493
1990," 10,305 ",9.240384493
1991," 10,586 ",9.267326232
1992," 11,350 ",9.33693267
1993," 11,582 ",9.35718195
1994," 12,344 ",9.420937557
1995," 12,093 ",9.400352187
1996," 12,660 ",9.446215544
1997," 13,226 ",9.489975993
1998," 13,744 ",9.52838101
1999," 13,349 ",9.499178497
2000," 13,050 ",9.47654831
2001," 12,464 ",9.430593273
2002," 11,400 ",9.341331855
2003," 11,439 ",9.34475641
2004," 11,955 ",9.388930763
2005," 12,757 ",9.453874506
2006," 13,224 ",9.489772061
2007," 13,976 ",9.545124941
2008," 14,870 ",9.607096108
2009," 15,144 ",9.625359437
2010," 16,416 ",9.705989138
2011," 17,211 ",9.753303993
2012," 17,776 ",9.785606058
2013," 18,553 ",9.828404709
2014," 19,104 ",9.857669411
2015," 19,124 ",9.858678607
2016," 19,394 ",9.872718086
2017," 19,657 ",9.88616979
2018," 19,698 ",9.888260201
2019," 19,714 ",9.889091878
2020," 18,460 ",9.823363585
2021," 19,222 ",9.863826126
2022," 20,182 ",9.912543407
2023," 23,019 ",10.04407524
2024," 23,906 ",10.08188475
