Quarter,Government Expenditure,Inflation,Trade Balance,GDP
4/1/2017,-0.00673837,-0.275826227,0.908831154,0.010212218
7/1/2017,-0.020344694,-0.313468474,0.93752911,-0.026330158
10/1/2017,0.009589219,-0.211173814,-1.063292168,0.047083578
1/1/2018,-0.121031489,-0.148581098,-0.254858482,-0.003212165
4/1/2018,0.038162498,-0.089098749,0.036727862,0.010127687
7/1/2018,-0.005377737,0.042842029,-0.599366447,-0.026359858
10/1/2018,0.053129454,0.002974274,-0.333579445,0.056011843
1/1/2019,-0.103343268,-0.053506248,0.287380228,-0.002433112
4/1/2019,0.057211352,-0.029243432,0.964214116,0.033791703
7/1/2019,0.032719969,-0.036401131,0.312737821,-0.007630606
10/1/2019,0.077620837,0.066037904,-0.219724538,0.050316305
1/1/2020,-0.103343268,0.093269686,-1.20131098,-0.030102054
4/1/2020,-0.089736944,0.347665895,0.390392034,-0.118598801
7/1/2020,6.48E-05,0.246061405,0.173618159,-0.077969254
10/1/2020,0.047686925,0.19987941,-0.420891665,0.000973245
1/1/2021,-0.067966826,0.099791725,-0.878953515,-0.065294224
4/1/2021,-0.00129584,-0.134661927,0.251391855,-0.012784691
7/1/2021,0.070817675,-0.068890851,1.035710231,-0.006970353
10/1/2021,0.069457043,-0.009676413,-0.955217447,0.079931736
1/1/2022,-0.033951017,0.101736452,-1.615482486,0.013337567
4/1/2022,0.09666969,0.170269583,2.244144603,0.075899395
