,GDP per capita (constant 2015 US$),Annual Growth Rate
1976,7453.06661,
1977,7514.582677,0.01
1978,7874.423978,0.05
1979,8322.210875,0.06
1980,8772.554297,0.05
1981,8875.413721,0.01
1982,7976.398752,-0.10
1983,7125.057297,-0.11
1984,7011.482364,-0.02
1985,7080.001086,0.01
1986,7663.581677,0.08
1987,8229.872992,0.07
1988,8302.574845,0.01
1989,8344.469665,0.01
1990,8320.355905,0.00
1991,8565.269278,0.03
1992,9193.551221,0.07
1993,9388.109391,0.02
1994,10019.34792,0.07
1995,9822.896804,-0.02
1996,10316.20276,0.05
1997,11138.86761,0.08
1998,11584.94919,0.04
1999,11357.08669,-0.02
2000,11096.33096,-0.02
2001,10643.5574,-0.04
2002,9806.771306,-0.08
2003,9878.756843,0.01
2004,10366.90674,0.05
2005,11131.39849,0.07
2006,11574.47054,0.04
2007,12310.48274,0.06
2008,13165.83628,0.07
2009,13691.71421,0.04
2010,14722.37801,0.08
2011,15443.99619,0.05
2012,15949.3177,0.03
2013,16639.40548,0.04
2014,17122.03646,0.03
2015,17125.90168,0.00
2016,17357.235,0.01
2017,17611.60367,0.01
2018,17608.94412,0.00
2019,17758.43844,0.01
2020,16443.3635,-0.07
2021,17416.00522,0.06
2022,18228.35584,0.05
2023,18378.98336,0.01
2024,18958.60333,0.03
2025,..,..
