,Investment rate,Labor Force,Capital,GDP,GDP/worker,Capital/worker,Capital/output
1991,15.12534471,1341324,4429769342,26743802791,37006.57311,3302.534915,0.165637227
1992,15.3848956,1355016,5055811710,28865011155,39542.56056,3731.182296,0.175153638
1993,15.64129551,1341848,5533182366,29632112135,40718.72026,4123.55376,0.18672926
1994,15.87163413,1387677,6242627816,31789727752,42561.42127,4498.617341,0.196372484
1995,15.40771142,1422234,6517836052,31329539981,41372.13316,4582.815523,0.208041231
1996,15.24021227,1457667,6450107880,33077088489,43542.22315,4424.952942,0.195002286
1997,16.84529339,1474748,6981229824,35904413225,46458.57396,4733.845934,0.194439324
1998,17.33757808,1491601,7459614423,37526894199,46907.76909,5001.07899,0.19878049
1999,15.07533096,1469921,6306638143,36956130432,47454.09919,4290.460605,0.170652015
2000,14.4570209,1486319,5855954109,36242902750,47163.2869,3939.903957,0.161575196
2001,14.32793979,1526779,5629376841,34849678467,45409.32788,3687.093444,0.161533107
2002,13.07290595,1492289,4464705625,32155098813,43686.84397,2991.850523,0.138849072
2003,15.20630885,1475293,4833991589,32414038652,44553.07426,3276.63155,0.149132653
2004,17.4684628,1489512,5645365193,34036089124,44376.52079,3790.077014,0.165864097
2005,17.69885816,1495508,6159724824,36575226345,46970.91786,4118.817702,0.168412487
2006,19.46057343,1563527,6906606170,38074290289,46157.66928,4417.324529,0.181398159
2007,19.52605528,1617437,7415921417,40564924117,46782.26041,4584.983166,0.182816105
2008,23.20809459,1630866,9269850216,43475921755,48981.71872,5684.004827,0.213218026
2009,19.62477452,1659322,8230375668,45320819971,50029.07271,4960.083497,0.181602532
2010,19.40760548,1657841,9480250731,48857389210,53643.33094,5718.431822,0.194039241
2011,20.88231101,1712840,10415868308,51379472634,54104.19649,6081.051533,0.202724313
2012,22.91537973,1702318,11925519924,53197370201,56452.50972,7005.45957,0.22417499
2013,22.48441201,1702341,12494821575,55664418794,59065.28699,7339.787725,0.224466937
2014,21.20281224,1739488,12496128410,57467273108,59740.73391,7183.796847,0.217447736
2015,19.7053904,1724536,11366133814,57680327999,61097.71147,6590.83592,0.197053904
2016,17.38915773,1725328,10879497980,58655009160,62339.53873,6305.756343,0.185482845
2017,15.92403567,1721302,10326302903,59675827117,63606.25341,5999.123282,0.173039963
2018,14.85349865,1718627,9666758254,59774159518,64121.0225,5624.698235,0.161721358
2019,14.12085039,1721844,9023457337,60329073610,64950.75945,5240.577739,0.149570627
2020,16.23367649,1665492,9361443998,55890466349,63301.58348,5620.827958,0.167496258
2021,18.19676314,1721005,11160819008,59156857854,64064.63723,6485.059026,0.188664838
2022,18.65518456,1733922,11792456980,61810768801,65393.96483,6801.030831,0.190783212
2023,17.53534249,1779292,11694803835,62269484309,64534.03794,6572.728835,0.18780955
2024,15.59667265,1799101,10862557428,64204978532,65702.2392,6037.769657,0.169185594
