,g(Ln Capital/worker),g(Ln Output),g(Ln Labour force),Labour Input,Capital Deepening,Labor-Augmented Productivity,Capital Share
1951,40.32%,14.43%,1.76%,7.46%,19.48%,-13.17%,48.31%
1952,23.43%,-3.80%,1.10%,-1.97%,11.32%,-31.39%,48.31%
1953,13.89%,5.11%,1.13%,2.64%,6.71%,-5.28%,48.31%
1954,16.42%,8.60%,1.18%,4.45%,7.93%,-0.99%,48.31%
1955,10.32%,1.82%,1.33%,0.94%,4.98%,-8.69%,48.31%
1956,7.20%,0.23%,1.29%,0.12%,3.48%,-8.77%,48.31%
1957,7.28%,3.27%,1.25%,1.69%,3.52%,-2.89%,48.31%
1958,1.81%,-6.06%,1.21%,-3.13%,0.88%,-15.76%,48.31%
1959,4.20%,-2.27%,1.16%,-1.17%,2.03%,-10.56%,48.31%
1960,4.83%,4.48%,1.19%,2.32%,2.33%,1.85%,48.31%
1961,4.89%,1.67%,1.04%,0.86%,2.36%,-3.35%,48.31%
1962,2.71%,-0.44%,1.09%,-0.23%,1.31%,-5.50%,48.31%
1963,1.30%,-1.54%,1.04%,-0.80%,0.63%,-6.20%,48.31%
1964,0.13%,2.55%,0.94%,1.32%,0.06%,3.00%,48.31%
1965,0.46%,-0.83%,0.85%,-0.43%,0.22%,-3.69%,48.31%
1966,0.93%,3.89%,0.78%,2.01%,0.45%,5.13%,48.31%
1967,1.49%,-2.78%,0.75%,-1.44%,0.72%,-8.23%,48.31%
1968,0.70%,1.11%,0.76%,0.58%,0.34%,0.03%,48.31%
1969,2.22%,6.63%,0.65%,3.43%,1.07%,9.48%,48.31%
1970,2.82%,3.74%,0.52%,1.93%,1.36%,3.58%,48.31%
1971,2.41%,0.12%,0.58%,0.06%,1.16%,-3.14%,48.31%
1972,1.35%,-1.57%,0.56%,-0.81%,0.65%,-5.36%,48.31%
1973,0.55%,0.36%,0.56%,0.19%,0.26%,-0.90%,48.31%
1974,1.18%,3.09%,0.61%,1.60%,0.57%,3.70%,48.31%
1975,3.10%,5.70%,0.66%,2.95%,1.50%,6.85%,48.31%
1976,4.70%,3.91%,0.68%,2.02%,2.27%,1.86%,48.31%
1977,4.75%,1.17%,0.64%,0.60%,2.30%,-3.42%,48.31%
1978,5.55%,5.13%,0.57%,2.65%,2.68%,3.62%,48.31%
1979,6.62%,5.99%,0.50%,3.09%,3.20%,4.42%,48.31%
1980,6.43%,5.83%,0.43%,3.01%,3.11%,4.43%,48.31%
1981,4.33%,1.88%,1.46%,0.97%,2.09%,-3.23%,48.31%
1982,2.56%,-9.86%,1.48%,-5.10%,1.24%,-24.33%,48.31%
1983,-0.16%,-6.03%,1.50%,-3.12%,-0.08%,-14.42%,48.31%
1984,-1.37%,-1.10%,1.50%,-0.57%,-0.66%,-3.75%,48.31%
1985,-2.02%,1.46%,1.52%,0.76%,-0.98%,1.79%,48.31%
1986,-1.54%,8.49%,1.55%,4.39%,-0.74%,14.86%,48.31%
1987,-0.54%,7.63%,1.57%,3.95%,-0.26%,12.23%,48.31%
1988,-0.38%,-0.01%,1.59%,0.00%,-0.18%,-2.74%,48.31%
1989,-0.44%,1.28%,1.59%,0.66%,-0.21%,-0.18%,48.31%
1990,-0.71%,0.91%,1.57%,0.47%,-0.34%,-0.60%,48.31%
1991,0.77%,3.13%,0.75%,1.62%,0.37%,3.88%,48.31%
1992,2.06%,8.71%,0.90%,4.50%,0.99%,13.19%,48.31%
1993,3.85%,2.57%,-0.42%,1.33%,1.86%,2.20%,48.31%
1994,1.22%,7.04%,2.46%,3.64%,0.59%,7.72%,48.31%
1995,1.81%,-1.46%,1.23%,-0.76%,0.87%,-6.90%,48.31%
1996,3.35%,5.41%,0.10%,2.80%,1.62%,7.14%,48.31%
1997,2.34%,4.81%,1.45%,2.49%,1.13%,4.32%,48.31%
1998,0.75%,4.42%,3.22%,2.39%,0.34%,1.58%,45.98%
