,GDP (Constant LCU),ln GDP,HP ln GDP,Percentage Deviation
1991,7.90514E+11,27.39594916,27.45186409,-0.055914935
1992,8.53214E+11,27.47227656,27.48255122,-0.010274661
1993,8.75889E+11,27.49850502,27.51267919,-0.014174169
1994,9.39665E+11,27.56878959,27.54158612,0.027203468
1995,9.26063E+11,27.5542078,27.56846837,-0.014260569
1996,9.77718E+11,27.60848723,27.59279434,0.015692899
1997,1.06129E+12,27.6905066,27.6138898,0.076616798
1998,1.10925E+12,27.73470424,27.6312375,0.103466741
1999,1.09238E+12,27.71937793,27.6450863,0.074291624
2000,1.0713E+12,27.69988996,27.65671978,0.043170177
2001,1.03011E+12,27.66069029,27.6681644,-0.007474106
2002,9.50465E+11,27.58021741,27.68187833,-0.101660919
2003,9.58119E+11,27.588238,27.70024502,-0.112007013
2004,1.00606E+12,27.63706779,27.72463127,-0.087563481
2005,1.08112E+12,27.70901752,27.75528385,-0.046266331
2006,1.12543E+12,27.74918564,27.79157387,-0.04238823
2007,1.19905E+12,27.81255014,27.83240979,-0.019859654
2008,1.28509E+12,27.88185364,27.87627618,0.00557746
2009,1.33963E+12,27.92341291,27.92145902,0.001953887
2010,1.44416E+12,27.99855201,27.96630006,0.032251949
2011,1.51871E+12,28.04888511,28.00916059,0.039724518
2012,1.57245E+12,28.08365534,28.04872442,0.034930926
2013,1.64537E+12,28.12898752,28.0840726,0.044914926
2014,1.69866E+12,28.160862,28.11463549,0.046226511
2015,1.70496E+12,28.16456256,28.14029262,0.024269943
2016,1.73377E+12,28.18131936,28.16138575,0.01993361
2017,1.76394E+12,28.19857341,28.17849937,0.020074045
2018,1.76685E+12,28.20021983,28.19241729,0.007802548
2019,1.78325E+12,28.20946052,28.20412406,0.005336462
2020,1.65205E+12,28.1330402,28.21468226,-0.081642061
2021,1.7486E+12,28.18983891,28.22520784,-0.035368935
2022,1.82705E+12,28.23372398,28.23600032,-0.002276338
2023,1.84061E+12,28.24111787,28.24700554,-0.005887668
2024,1.89782E+12,28.27172714,28.25814656,0.013580578
,..,,,
