Year,GDP,Consumption,Investment
4/1/2017,0.010212218,0,0.063272575
7/1/2017,-0.026330158,0.007352941,-0.0159229
10/1/2017,0.047083578,0.020220588,0.233396187
1/1/2018,-0.003212165,0.033088235,-0.161114603
4/1/2018,0.010127687,0.012867647,-0.004190237
7/1/2018,-0.026359858,0.025735294,-0.049654305
10/1/2018,0.056011843,0.034926471,0.057406243
1/1/2019,-0.002433112,0.036764706,-0.187513094
4/1/2019,0.033791703,0.020220588,-0.065786717
7/1/2019,-0.007630606,0.040441176,-0.070186466
10/1/2019,0.050316305,0.042279412,0.035407501
1/1/2020,-0.030102054,0.025735294,-0.205112089
4/1/2020,-0.118598801,-0.150735294,-0.222711083
7/1/2020,-0.077969254,-0.051470588,-0.125916614
10/1/2020,0.000973245,-0.040441176,0.138068301
1/1/2021,-0.065294224,-0.03125,-0.115650534
4/1/2021,-0.012784691,-0.055147059,0.042740415
7/1/2021,-0.006970353,-0.007352941,0.099937146
10/1/2021,0.079931736,0.011029412,0.290592918
1/1/2022,0.013337567,0.022058824,0.091137649
4/1/2022,0.075899395,0.003676471,0.171799707
