COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1979-M01,346.9445183,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1979-M02,344.2080919,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1979-M03,341.5796133,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1979-M04,340.3047571,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1979-M05,339.9866789,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1979-M06,337.9336164,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1979-M07,329.2737553,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1979-M08,328.627086,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1979-M09,329.136818,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1979-M10,331.2964784,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1979-M11,333.4728867,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1979-M12,342.8289325,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1980-M01,345.0268756,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1980-M02,348.5796324,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1980-M03,355.4771648,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1980-M04,357.5573965,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1980-M05,346.8755339,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1980-M06,341.4237538,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1980-M07,339.7895241,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1980-M08,338.7322915,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1980-M09,332.810992,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1980-M10,330.7753278,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1980-M11,333.2228077,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1980-M12,333.4692972,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1981-M01,331.8029564,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1981-M02,342.8189071,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1981-M03,344.1157208,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1981-M04,358.8903447,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1981-M05,369.4219556,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1981-M06,392.8820825,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1981-M07,395.7058356,Units
Uruguay,"Nominal effective exchange rate (NEER), Index (2010=100) Weighted index",Monthly,1981-M08,403.452757,Units
